id,slug,category,name_fr,name_en,short_fr,short_en,description_fr,description_en,price,compare_at_price,images,width,depth,height,materials_fr,materials_en,finish_fr,finish_en,colors_fr,colors_en,in_stock,made_to_order,lead_time_days,featured
CNS-011,console-patine-or-et-noir,consoles,Console Patine — or & noir,Patine console — gold & black,"La façade patinée reprise en noir, or et craie.","The patinated front taken into black, gold and chalk.","Le même travail de panneaux patinés que la console Patine, mais dans une gamme réduite : noir, or vieilli et craie. Les carrés se décalent légèrement les uns par rapport aux autres, comme des feuilles d'or posées à la main.

Dans une entrée sombre, éclairée par une applique, l'or accroche la lumière et le meuble se détache du mur.","The same patinated-panel work as the Patine console, in a narrower range: black, aged gold and chalk. The squares shift slightly against one another, like gold leaf laid by hand.

In a dark entrance lit by a wall light, the gold catches and the piece lifts off the wall.",0,,console-patine-or-et-noir-1.webp,,,,"Caisson bois, décor peint, piètement métal noir","Wooden case, painted decor, black metal legs",Mate,Matt,Noir|Or|Craie,Black|Gold|Chalk,oui,oui,,non
CNS-012,console-arcades-vert-et-terracotta,consoles,Console Arcades — vert & terracotta,Arcades console — green & terracotta,"Arcades, cercles et feuillages en vert forêt, terracotta et crème.","Arches, circles and foliage in forest green, terracotta and cream.","Des arcades, des cercles pleins et une branche noire composent une petite architecture sur la façade, en vert forêt, terracotta, ocre et crème. C'est un dessin de médina : des ouvertures, des ombres, un feuillage.

La palette est franche mais profonde ; elle s'accorde naturellement au zellige et aux sols en pierre claire.","Arches, solid circles and a black branch compose a small architecture across the front in forest green, terracotta, ochre and cream. It is a medina drawing: openings, shadows, foliage.

The palette is bold but deep; it sits naturally with zellige and pale stone floors.",0,,console-arcades-vert-et-terracotta-1.webp,,,,"Caisson bois, décor peint, piètement métal noir","Wooden case, painted decor, black metal legs",Mate,Matt,Vert forêt|Terracotta|Ocre|Crème,Forest green|Terracotta|Ochre|Cream,oui,oui,,non
CNS-013,console-petales-noir-et-craie,consoles,Console Pétales — noir & craie,Pétales console — black & chalk,"Quarts de cercle noir et craie en damier, caisson noyer et boutons laiton.","Black and chalk quarter-circles in a chequer, walnut case and brass knobs.","Des quarts de cercle noirs et craie se répètent sur toute la façade et forment, selon l'endroit où l'on regarde, des pétales, des sabliers ou des cercles pleins. Le caisson est en bois teinté noyer, les boutons en laiton et les pieds fuselés, dans l'esprit des années cinquante.

C'est la pièce la plus chaleureuse de la série géométrique : le bois casse la rigueur du motif.","Black and chalk quarter-circles repeat across the front and form — depending on where you look — petals, hourglasses or full circles. The case is walnut-stained, the knobs are brass and the legs are tapered, in a fifties spirit.

The warmest piece in the geometric series: the wood breaks the strictness of the pattern.",0,,console-petales-noir-et-craie-1.webp,,,,"Caisson bois, décor peint, piètement bois","Wooden case, painted decor, wooden legs",Satinée,Satin,Noir|Craie|Noyer|Laiton,Black|Chalk|Walnut|Brass,oui,oui,,non
CNS-014,console-demi-lunes,consoles,Console Demi-lunes,Demi-lunes console,"Demi-lunes craie sur fond noir, boutons laiton, quatre portes.","Chalk half-moons on black, brass knobs, four doors.","Des demi-lunes et des quarts de cercle craie se répètent sur un fond noir mat, en quatre rangs. Le motif est régulier mais jamais mécanique : les pleins et les vides s'inversent d'un carreau à l'autre.

Deux petits boutons en laiton suffisent comme poignées. Posée sur un mur clair, c'est la console la plus graphique du catalogue — et la plus photogénique.","Chalk half-moons and quarter-circles repeat over a matt black ground in four rows. The pattern is regular but never mechanical: solids and voids swap from one tile to the next.

Two small brass knobs are all it needs for handles. Against a pale wall it is the most graphic console in the catalogue — and the most photogenic.",0,,console-demi-lunes-1.webp|console-demi-lunes-2.webp,,,,"Caisson bois, décor peint, piètement métal noir","Wooden case, painted decor, black metal legs",Mate,Matt,Noir|Craie|Laiton,Black|Chalk|Brass,oui,oui,,oui
CNS-015,console-arcades-bleu-et-craie,consoles,Console Arcades — bleu & craie,Arcades console — blue & chalk,"Le dessin Arcades en bleu de Fès, marine et craie.","The Arcades drawing in Fez blue, navy and chalk.","Le dessin d'arcades repris dans une gamme de bleus — bleu de Fès, marine, ardoise — sur fond craie, avec les mêmes feuillages noirs en surimpression. Les aplats sont posés en lavis, si bien que chaque forme garde sa transparence.

C'est la déclinaison la plus fraîche de la série : elle éclaire les entrées orientées nord.","The arcades drawing taken into a range of blues — Fez blue, navy, slate — on a chalk ground, with the same black foliage overlaid. The flats are laid as washes, so every shape keeps its transparency.

The coolest version in the series: it lifts north-facing entrances.",0,,console-arcades-bleu-et-craie-1.webp|console-arcades-bleu-et-craie-2.webp,,,,"Caisson bois, décor peint, piètement métal noir","Wooden case, painted decor, black metal legs",Mate,Matt,Bleu de Fès|Marine|Craie,Fez blue|Navy|Chalk,oui,oui,,non
CNS-016,console-motifs-berberes,consoles,Console Motifs berbères,Berber motifs console,"Une mosaïque de motifs berbères bleus et sable, carreau par carreau.","A mosaic of blue and sand Berber motifs, tile by tile.","La façade est couverte de carreaux, tous différents : losanges, croix, étoiles, peignes et chevrons, en bleu marine, bleu clair et sable. Chaque carreau est traité comme un fragment de tapis ou de tatouage, avec la même patine irrégulière.

C'est la pièce la plus marocaine du catalogue, et pourtant elle tient dans un intérieur contemporain : le bleu et le sable la rendent lisible de loin.","The front is covered in tiles, all different: diamonds, crosses, stars, combs and chevrons in navy, pale blue and sand. Each tile is treated as a fragment of a rug or a tattoo, with the same uneven patina.

The most Moroccan piece in the catalogue, and yet it holds in a contemporary interior: the blue and the sand keep it legible from across a room.",0,,console-motifs-berberes-1.webp,,,,"Caisson bois, décor peint, piètement métal noir","Wooden case, painted decor, black metal legs",Mate,Matt,Marine|Bleu clair|Sable,Navy|Pale blue|Sand,oui,oui,,non
CNS-017,commode-zellige-bleu,consoles,Commode Zellige — bleu & blanc,Zellige chest — blue & white,"Douze tiroirs habillés d’un zellige bleu et blanc, caisson ivoire.","Twelve drawers dressed in blue and white zellige, ivory case.","Douze tiroirs, quatre rangs de trois, entièrement couverts d'un motif de zellige bleu et blanc — rosaces, étoiles à huit branches et frises en damier. Le caisson et les pieds fuselés restent ivoire, ce qui laisse le motif seul en scène.

Elle sert de commode d'entrée, de meuble de chambre ou de rangement de salon. Les petits boutons ronds se fondent dans le dessin.","Twelve drawers, four rows of three, entirely covered in a blue and white zellige pattern — rosettes, eight-pointed stars and chequered borders. The case and the tapered legs stay ivory, leaving the pattern alone on stage.

It works as an entrance chest, a bedroom piece or living-room storage. The small round knobs disappear into the drawing.",0,,commode-zellige-bleu-1.webp,,,,"Caisson bois laqué ivoire, décor peint, piètement bois","Ivory-lacquered wooden case, painted decor, wooden legs",Satinée,Satin,Bleu|Blanc|Ivoire,Blue|White|Ivory,oui,oui,,non
CNS-018,console-motifs-africains-noyer,consoles,Console Motifs africains — noyer,African motifs console — walnut,"Motifs gravés brun et sable sur toute la façade, 1 m 60 de large.","Carved brown and sand motifs across the whole front, 1.60 m wide.","Une façade entièrement couverte de motifs bruns et sable — chevrons, zigzags, spirales, damiers, cercles concentriques — chacun dans son propre carreau, comme un échantillonnage de tissus bogolan. Le cadre et le plateau sont teintés noyer, les pieds sont noirs et fuselés.

C'est la plus large des consoles du catalogue : 1 m 60, de quoi tenir un grand pan de mur à elle seule.","A front entirely covered in brown and sand motifs — chevrons, zigzags, spirals, chequers, concentric circles — each in its own tile, like a sampler of bogolan cloth. The frame and top are walnut-stained, the legs black and tapered.

The widest console in the catalogue: 1.60 m, enough to hold a whole wall on its own.",0,,console-motifs-africains-noyer-1.webp,160,,,"Caisson bois teinté noyer, décor peint, piètement métal noir","Walnut-stained wooden case, painted decor, black metal legs",Mate,Matt,Brun|Sable|Noyer,Brown|Sand|Walnut,oui,oui,,non
CNS-019,console-carreaux-terre-cuite,consoles,Console Carreaux — terre cuite,Carreaux console — terracotta,"Six grands carreaux à motifs, du rouge brique à l’orange safran.","Six large patterned tiles, from brick red to saffron orange.","Six grands carreaux, chacun avec son propre motif géométrique — croisillons, demi-cercles, triangles, étoiles — dans une gamme qui va du rouge brique à l'orange safran en passant par le crème. Les motifs sont gravés dans la matière plutôt que peints par-dessus.

Le cadre en bois teinté et les pieds fins tiennent l'ensemble. Elle existe aussi bien en console qu'en commode à tiroirs.","Six large tiles, each with its own geometric motif — lattice, half-circles, triangles, stars — in a range running from brick red through cream to saffron orange. The motifs are carved into the surface rather than painted over it.

The stained wooden frame and slim legs hold it all together. It exists both as a console and as a chest of drawers.",0,,console-carreaux-terre-cuite-1.webp|console-carreaux-terre-cuite-2.webp,,,,"Caisson bois teinté, décor gravé, piètement métal noir","Stained wooden case, carved decor, black metal legs",Mate,Matt,Rouge brique|Orange safran|Crème|Ocre,Brick red|Saffron orange|Cream|Ochre,oui,oui,,non
CNS-020,console-pointilles-chene,consoles,Console Pointillés — chêne,Pointillés console — oak,Rayures et pointillés noirs peints à main levée sur chêne clair.,Freehand black stripes and dots painted on pale oak.,"Des rayures verticales et des pointillés noirs, peints à main levée, courent du haut en bas de la façade sur un chêne clair laissé apparent. Aucune ligne n'est parfaitement droite : c'est le tremblé du geste qui fait le motif.

La seule console du catalogue où le bois reste dominant. Elle s'accorde aux intérieurs beiges, aux tapis en jute et aux murs à la chaux.","Vertical stripes and black dots, painted freehand, run top to bottom across a front of exposed pale oak. Not one line is perfectly straight: the tremble of the hand is the pattern.

The only console in the catalogue where the wood stays dominant. It suits beige interiors, jute rugs and lime-washed walls.",0,,console-pointilles-chene-1.webp|console-pointilles-chene-2.webp,,,,"Caisson chêne clair, décor peint, piètement métal noir","Pale oak case, painted decor, black metal legs",Mate,Matt,Chêne clair|Noir,Pale oak|Black,oui,oui,,non
CNS-021,console-fleurs-marqueterie-bleue,consoles,Console Fleurs — marqueterie bleue,Fleurs console — blue marquetry,"Marqueterie fleurie ivoire sur fond bleu nuit, encadrée d’une frise.","Ivory floral marquetry on a midnight blue ground, inside a border.","Un décor de marqueterie ivoire — lotus, palmettes, rinceaux — se déploie symétriquement sur un fond bleu nuit, à l'intérieur d'une frise qui fait le tour de la façade. Le dessin est dense, régulier, et se lit comme une page enluminée.

C'est la pièce la plus habillée du catalogue. Elle demande un mur clair et beaucoup d'espace autour d'elle.","An ivory marquetry decor — lotus, palmettes, scrollwork — opens symmetrically over a midnight blue ground, inside a border that runs around the whole front. The drawing is dense, regular, and reads like an illuminated page.

The most dressed piece in the catalogue. It asks for a pale wall and plenty of space around it.",0,,console-fleurs-marqueterie-bleue-1.webp,,,,"Caisson bois, décor marqueterie, piètement métal noir","Wooden case, marquetry decor, black metal legs",Satinée,Satin,Bleu nuit|Ivoire,Midnight blue|Ivory,oui,oui,,non
CNS-022,console-symboles-terres,consoles,Console Symboles — terres,Symboles console — earth tones,"Une grille de symboles peints en rouille, brun et craie sur fond noir.","A grid of symbols painted in rust, brown and chalk on black.","Une grille de carrés peints à la main couvre la façade : croix, cercles, damiers, arches, traits répétés, chacun dans sa teinte de rouille, de brun, de craie ou de noir. Le fond noir entre les carreaux fait office de joint et tient la composition.

On y lit un alphabet imaginaire. C'est la console qui retient le regard le plus longtemps.","A grid of hand-painted squares covers the front: crosses, circles, chequers, arches, repeated strokes, each in its own shade of rust, brown, chalk or black. The black ground between the tiles acts as grouting and holds the composition together.

You read an imaginary alphabet in it. This is the console that holds the eye longest.",0,,console-symboles-terres-1.webp|console-symboles-terres-2.webp,,,,"Caisson bois, décor peint, piètement métal noir","Wooden case, painted decor, black metal legs",Mate,Matt,Rouille|Brun|Craie|Noir,Rust|Brown|Chalk|Black,oui,oui,,non
CNS-023,console-visages-cubistes,consoles,Console Visages cubistes,Cubist faces console,"Visages cubistes en rouge, bleu et jaune, cernés de noir.","Cubist faces in red, blue and yellow, outlined in black.","Des visages cubistes s'emboîtent sur toute la façade, cernés d'un trait noir épais, en rouge, bleu, jaune et crème. Les yeux, les profils et les bouches se partagent les mêmes lignes : un seul trait sert souvent à deux visages.

La version la plus colorée du catalogue. Elle transforme une entrée neutre en pièce à part entière.","Cubist faces interlock across the whole front, outlined in thick black, in red, blue, yellow and cream. Eyes, profiles and mouths share the same lines: one stroke often serves two faces.

The most colourful version in the catalogue. It turns a neutral entrance into a room in its own right.",0,,console-visages-cubistes-1.webp,,,,"Caisson bois, décor peint, piètement métal noir","Wooden case, painted decor, black metal legs",Mate,Matt,Rouge|Bleu|Jaune|Crème,Red|Blue|Yellow|Cream,oui,oui,,non
CNS-024,console-damier-noir-et-blanc-140,consoles,"Console Damier — noir & blanc, 140 cm","Damier console — black & white, 140 cm","Le damier noir et blanc, 140 cm de large, plan technique fourni.","The black and white chequer, 140 cm wide, technical drawing supplied.","Un damier noir et blanc franc, six carreaux de large sur trois de haut, sans aucune fioriture. La deuxième image est le plan technique du modèle : 140 cm de large, 38 cm de profondeur, 85 cm de caisson et 15 cm de pieds, soit 100 cm de hauteur totale.

À l'intérieur, deux portes et un compartiment central à tablette. Le damier existe aussi en 150 cm noir et en 160 cm beige.","A plain black and white chequer, six tiles wide by three high, with no flourish. The second image is the model's technical drawing: 140 cm wide, 38 cm deep, an 85 cm case and 15 cm legs, for 100 cm overall.

Inside, two doors and a central shelved compartment. The chequer also exists in 150 cm black and 160 cm beige.",0,,console-damier-noir-et-blanc-140-1.webp|console-damier-noir-et-blanc-140-2.webp,140,38,100,"Caisson bois, décor peint, piètement métal noir","Wooden case, painted decor, black metal legs",Mate,Matt,Noir|Blanc,Black|White,oui,oui,,oui
CNS-025,console-damier-noir-150,consoles,"Console Damier — noir, 150 cm","Damier console — black, 150 cm","La version noire cannelée du Damier, 150 cm de large.","The fluted black version of the Damier, 150 cm wide.","La déclinaison noire du Damier, en 150 cm : façade entièrement cannelée, noir mat sur toute la surface, plateau compris. Sans motif, c'est le relief vertical des cannelures qui accroche la lumière.

Plan technique fourni par l'atelier : 150 cm de large, 38 cm de profondeur, caisson de 85 cm sur pieds de 15 cm, 100 cm au total. Deux portes et un compartiment central à tablette.","The black version of the Damier, at 150 cm: a fully fluted front, matt black across the whole surface, top included. With no pattern, it is the vertical relief of the fluting that catches the light.

Technical drawing supplied by the workshop: 150 cm wide, 38 cm deep, an 85 cm case on 15 cm legs, 100 cm overall. Two doors and a central shelved compartment.",0,,console-damier-noir-150-1.webp,150,38,100,"Caisson bois cannelé laqué noir, piètement bois noir","Fluted wooden case in black lacquer, black wooden legs",Mate,Matt,Noir,Black,oui,oui,,non
CNS-026,console-damier-beige-160,consoles,"Console Damier — beige, 160 cm","Damier console — beige, 160 cm","La version beige du Damier, 160 cm, la plus large des trois.","The beige version of the Damier, 160 cm, the widest of the three.","La déclinaison beige du Damier, en 160 cm : façade unie, teinte sable, pieds fuselés assortis. C'est la plus discrète des trois — celle qu'on choisit quand le mur, le tapis ou les tableaux occupent déjà le regard.

Plan technique fourni par l'atelier : 160 cm de large, 38 cm de profondeur, caisson de 85 cm sur pieds de 15 cm, 100 cm au total. Deux portes et un compartiment central à tablette.","The beige version of the Damier, at 160 cm: a plain sand-toned front with matching tapered legs. The quietest of the three — the one to choose when the wall, the rug or the artwork already hold the eye.

Technical drawing supplied by the workshop: 160 cm wide, 38 cm deep, an 85 cm case on 15 cm legs, 100 cm overall. Two doors and a central shelved compartment.",0,,console-damier-beige-160-1.webp,160,38,100,"Caisson bois laqué sable, piètement bois assorti","Sand-lacquered wooden case, matching wooden legs",Mate,Matt,Beige|Sable,Beige|Sand,oui,oui,,non
TBS-001,table-basse-damier,tables-basses,Table basse Damier,Damier coffee table,"Carreaux de résine noirs et blancs, brillants, 120 × 60 × 35 cm.","Black and white resin tiles, high gloss, 120 × 60 × 35 cm.","Un bloc rectangulaire entièrement habillé de carreaux de résine noirs et blancs, posés en damier sur le plateau comme sur les quatre côtés. La finition est brillante et lisse : la table renvoie la lumière de la pièce et le motif se poursuit sans interruption d'une face à l'autre.

120 × 60 cm au sol, 35 cm de haut — la hauteur d'assise d'un canapé bas. La résine se nettoie d'un coup d'éponge, ce qui en fait une table basse qui se vit vraiment.","A rectangular block entirely clad in black and white resin tiles, set as a chequer on the top and on all four sides. The finish is glossy and smooth: the table throws back the light of the room and the pattern continues without a break from one face to the next.

120 × 60 cm on the floor, 35 cm high — the seat height of a low sofa. The resin wipes clean with a sponge, which makes this a coffee table you can actually live with.",0,,table-basse-damier-1.webp|table-basse-damier-2.webp,120,60,35,Carreaux de résine,Resin tiles,Brillante et lisse,Glossy and smooth,Noir|Blanc,Black|White,oui,oui,,oui
